,ewa,ewc
1361,21.24,27.73
1362,20.44,26.73
1363,19.28,25.29
1364,19.42,25.08
1365,19.95,25.68
1366,20.59,26.17
1367,20.02,25.41
1368,20.1,25.57
1369,19.41,25.14
1370,18.75,24.21
1371,19.19,24.01
1372,19.76,25.07
1373,20.65,25.84
1374,20.78,25.4
1375,21.77,26.43
1376,21.72,26.24
1377,22.12,26.85
1378,22.2,26.48
1379,22.67,27.16
1380,22.03,26.46
1381,22.37,26.9
1382,21.95,26.32
1383,21.89,26.39
1384,22.37,26.88
1385,23.11,27.49
1386,22.47,27.0
1387,22.8,27.51
1388,24.51,28.6
1389,24.22,28.64
1390,23.09,27.89
1391,22.21,26.97
1392,22.49,27.33
1393,22.97,28.04
1394,22.86,27.7
1395,23.02,27.89
1396,23.32,28.06
1397,22.11,26.94
1398,22.48,26.96
1399,23.15,27.53
1400,22.59,27.23
1401,22.64,27.07
1402,22.13,26.93
1403,21.65,26.21
1404,21.61,26.25
1405,20.92,25.64
1406,20.93,25.66
1407,20.17,24.91
1408,20.05,24.61
1409,20.98,25.39
1410,21.24,25.79
1411,22.61,27.11
1412,22.39,27.05
1413,22.66,26.84
1414,23.04,27.06
1415,22.75,27.07
1416,22.88,27.23
1417,22.11,26.4
1418,22.5,26.76
1419,21.79,26.2
1420,21.52,25.68
1421,21.22,25.08
1422,21.24,25.09
1423,21.24,25.41
1424,20.71,25.05
1425,21.46,25.62
1426,21.47,25.86
1427,21.67,26.28
1428,21.79,26.4
1429,21.75,26.31
1430,21.11,25.9
1431,21.45,26.19
1432,21.44,26.6
1433,22.08,27.4
1434,22.34,27.35
1435,22.05,27.18
1436,21.76,26.9
1437,21.83,26.98
1438,22.25,27.33
1439,22.38,27.2
1440,22.48,27.34
1441,22.3,27.13
1442,22.48,27.29
1443,22.88,27.63
1444,22.84,27.79
1445,22.94,27.75
1446,23.02,28.24
1447,22.84,27.86
1448,23.43,28.35
1449,23.5,28.19
1450,23.6,28.26
1451,23.37,28.07
1452,23.42,28.11
1453,23.66,28.36
1454,23.67,28.46
1455,24.02,28.78
1456,23.87,28.61
1457,23.86,28.5
1458,23.9,28.51
1459,23.88,28.44
1460,23.27,28.0
1461,23.65,28.14
1462,23.33,28.03
1463,23.26,28.09
1464,23.37,28.48
1465,23.19,28.38
1466,23.52,28.75
1467,23.48,28.87
1468,23.72,29.0
1469,23.76,28.9
1470,23.8,28.85
1471,23.81,29.1
1472,23.75,29.02
1473,23.9,29.32
1474,23.72,29.05
1475,23.51,28.63
1476,22.74,27.91
1477,22.87,27.99
1478,23.2,28.48
1479,23.15,28.59
1480,22.96,28.34
1481,23.45,28.79
1482,23.18,28.32
1483,23.48,28.53
1484,23.62,28.72
1485,23.73,28.76
1486,23.22,28.53
1487,23.11,28.55
1488,22.88,28.11
1489,23.2,28.37
1490,23.56,28.87
1491,23.35,28.63
1492,23.38,28.36
1493,23.39,28.3
1494,23.51,28.34
1495,23.63,28.8
1496,23.26,28.37
1497,22.98,27.87
1498,23.12,27.71
1499,22.93,27.46
