3.900	1455.100	22.200	2294.618	NaN	24.400	45445.667	57.167	44.133	59.833	29.633	1.923	3.140	0.487	3.773	500.860	NaN	NaN
4.200	1467.000	22.000	2317.001	NaN	24.490	45307.333	57.133	45.600	69.133	32.133	1.930	3.353	0.574	4.070	483.057	NaN	NaN
4.500	1467.800	21.900	2292.459	NaN	23.458	44774.667	56.600	39.433	56.933	29.233	1.957	3.310	0.323	3.997	442.200	NaN	NaN
5.800	1447.300	20.900	2230.219	NaN	22.135	43817.333	55.567	36.800	48.300	31.767	1.957	1.757	1.283	3.607	445.567	NaN	NaN
7.400	1458.900	21.000	2243.374	NaN	21.765	43054.333	55.267	45.700	45.967	37.733	1.973	0.957	1.966	3.580	465.580	NaN	NaN
7.500	1482.200	22.500	2295.207	NaN	22.917	43258.667	55.333	57.267	60.033	46.267	1.983	1.680	1.820	3.870	514.570	NaN	NaN
6.700	1500.900	24.900	2348.023	NaN	23.949	43785.667	55.533	61.833	67.600	54.867	2.023	2.690	1.110	4.093	561.443	NaN	NaN
6.000	1525.900	27.800	2392.886	1648.000	25.001	44610.333	55.733	66.133	64.867	65.133	2.057	2.773	1.217	4.130	599.723	139.333	NaN
5.200	1551.700	28.800	2455.813	1530.333	26.214	45369.667	56.267	66.500	66.067	63.833	2.083	3.000	1.257	4.353	637.047	140.533	NaN
5.100	1569.200	28.300	2453.948	1505.667	25.142	45325.000	56.133	54.967	57.700	58.000	2.067	3.540	0.963	4.473	656.990	141.533	NaN
5.700	1571.400	27.500	2462.587	1457.333	25.262	45417.333	56.033	52.833	63.933	55.600	2.087	4.230	0.353	4.570	661.713	140.300	NaN
5.200	1585.600	28.400	2517.365	1357.333	26.785	46029.000	55.867	53.867	60.667	35.567	2.140	3.873	0.614	4.553	623.110	139.900	1.700
5.200	1605.100	26.100	2504.800	1269.000	26.204	46077.667	56.433	44.100	56.667	32.000	2.140	2.993	1.267	4.453	622.607	139.600	1.600
5.500	1598.500	25.300	2508.726	1212.667	25.773	45798.333	56.233	45.567	49.633	37.033	2.140	2.360	1.473	4.313	607.620	140.900	1.400
6.100	1600.300	25.300	2476.232	1185.000	25.152	45411.333	55.867	44.867	46.167	38.067	2.157	2.307	1.580	4.320	597.823	140.833	1.200
6.600	1600.200	25.300	2491.154	1240.333	24.771	45046.333	55.600	45.533	49.867	40.800	2.170	2.350	1.437	4.270	662.303	141.533	1.900
7.000	1624.200	25.500	2537.981	1258.667	25.753	45135.000	55.333	58.200	52.267	48.233	2.193	2.303	1.487	4.283	686.463	142.567	1.900
7.000	1632.100	26.900	2579.114	1358.667	26.575	45508.667	55.167	60.633	52.333	50.233	2.193	2.303	1.677	4.437	708.840	143.400	1.900
6.500	1664.900	27.800	2631.831	1388.333	27.506	45894.000	55.367	61.800	54.567	53.100	2.237	2.460	1.513	4.410	718.887	144.700	1.900
5.800	1682.700	28.400	2679.149	1360.667	27.917	46241.333	55.600	60.867	56.200	56.767	2.263	2.723	1.294	4.410	705.000	145.633	2.300
5.600	1703.100	29.200	2708.404	1470.333	28.188	46663.667	55.567	52.700	52.433	45.300	2.270	2.717	1.156	4.297	613.323	146.600	1.900
5.400	1717.000	29.200	2733.339	1430.333	28.488	46794.333	55.567	50.167	48.233	44.633	2.263	2.840	1.150	4.337	595.363	146.467	1.700
5.400	1741.500	29.100	2740.014	1573.000	28.729	46912.667	55.300	54.067	46.100	48.500	2.297	2.813	1.090	4.257	630.390	147.267	1.900
5.700	1753.100	30.200	2775.944	1411.333	29.260	46996.333	55.200	55.000	49.233	52.100	2.313	2.907	0.986	4.197	676.103	148.800	2.500
5.700	1770.000	32.200	2810.598	1639.333	30.032	47333.333	55.367	58.533	60.267	56.967	2.333	2.940	1.023	4.220	717.180	150.167	2.400
