,hedgeRatio
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,-0.00894929385026444
20,0.11060948009640015
21,0.1638814168099998
22,0.2142109396725118
23,0.2960665196685568
24,0.30688830981500814
25,0.3004381695373013
26,0.233573535805931
27,0.18435126502845378
28,0.13641692429769137
29,0.12688372093009548
30,0.07167873326034169
31,-0.06403149001232578
32,-0.16156458455361644
33,0.0001561576255539876
34,0.06524368832396021
35,0.12792458809695972
36,0.1621993555167478
37,0.21609270290508675
38,0.26198619062842
39,0.28039298381435174
40,0.3006271933060134
41,0.30682639098029085
42,0.3198177042687007
43,0.31366284439366154
44,0.3211758903308919
45,0.37403728675212733
46,0.41504539579170796
47,0.4818153569831338
48,0.5766538012363753
49,0.6960643984193666
50,0.7191790584106457
51,0.7186141545195142
52,0.6872705238998833
53,0.6493402353305555
54,0.6941250733962079
55,0.7046321464654284
56,0.6981585679702675
57,0.6837967727401519
58,0.6164773673494892
59,0.5766069710164174
60,0.5593414696695618
61,0.5203704718579729
62,0.5081372182505675
63,0.5287943798855395
64,0.6036904366437739
65,0.7099448169578864
66,0.7493386320429636
67,0.7209512223407728
68,0.7357710128699182
69,0.7342565715448472
70,0.7074196951266458
71,0.7469209273408524
72,0.7578656661903551
73,0.7693662079759633
74,0.6815695849668373
75,0.5376206276619087
76,0.5389283483036706
77,0.6006452075221205
78,0.6783372505788066
79,0.8353828437166158
80,0.9910860204054188
81,1.2061892684851045
82,1.3368508847493104
83,1.4656025709350615
84,1.4838567624033203
85,1.506861553141789
86,1.5571682477816466
87,1.6667961107018527
88,1.7619743381678745
89,1.7874396546435491
90,1.913454010564692
91,1.4925186373457109
92,1.0456618056905427
93,0.7477680307329138
94,0.8648453669402443
95,1.0889284175391367
96,1.2894085520333647
97,1.3675393483949847
98,1.3528586938275566
99,1.3833890494720436
100,1.4165058025641883
101,1.4174635483801694
102,1.457633410245876
103,1.4765002122339865
104,1.4770086821791892
105,1.4395701189890815
106,1.4203126940013817
107,1.3615413078111942
108,1.2676709561478674
109,1.1572989283565676
110,1.0526143469528506
111,1.0644111281055757
112,1.063784236009269
113,0.8812797994955872
114,0.6800498760603659
115,0.6486268158751045
116,0.6859810588157416
117,0.7048456606744367
118,0.8373952287652173
119,0.8516986858289783
120,0.7492166392794388
121,0.824477185120486
122,0.813988672112373
123,0.7370144645869914
124,0.6862909851329277
125,0.7059652027196535
126,0.6879255646108504
127,0.541959940067045
128,0.33071275320844506
129,0.11830994078763979
130,-0.11560744956841518
131,-0.23898139199354773
132,-0.30256469896448834
133,-0.34789216521994604
134,-0.28279750962269645
135,-0.1883904516491839
136,-0.1852176420552496
137,-0.22759722089563184
138,-0.10995413311388802
139,-0.08297285605021898
140,-0.07281749823027894
141,-0.06129099615782252
142,-0.07984712644361025
